experiment;model;window;samples_summarized;accuracy_train;accuracy_test;presicion;recall;f1_score;train_acc_ten_above;train_test_hundred;f1_hundred;invalid_window
2;DUM;400;242;45.0;48.75;48.837209302325576;52.5;50.60240963855421;0;0;0;0
2;KNN;400;242;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;MLP;400;242;50.0;50.0;50.0;100.0;66.66666666666666;0;0;0;0
2;NB;400;242;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;RF;400;242;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;SVM;400;242;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;XGB;400;242;100.0;99.5;100.0;99.0;99.48717948717949;0;4;4;4
2;DT;440;220;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;DUM;440;220;45.73863636363637;46.590909090909086;46.80851063829788;50.0;48.35164835164835;0;0;0;0
2;KNN;440;220;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;MLP;440;220;50.0;50.0;50.0;100.0;66.66666666666666;0;0;0;0
2;NB;440;220;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;RF;440;220;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;SVM;440;220;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;XGB;440;220;100.0;99.77272727272728;100.0;99.54545454545455;99.77011494252874;0;4;4;4
2;DT;484;200;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;DUM;484;200;49.329630517595035;49.57903780068729;49.72765957446809;49.97448979591837;49.82993197278911;0;0;0;0
2;KNN;484;200;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;MLP;484;200;50.00000000000001;50.0;50.0;100.0;66.66540702251613;0;0;0;0
2;NB;484;200;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;RF;484;200;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;SVM;484;200;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;XGB;484;200;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;DT;550;176;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;DUM;550;176;47.95454545454545;52.72727272727273;52.54237288135594;56.36363636363636;54.38596491228071;0;0;0;0
2;KNN;550;176;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;MLP;550;176;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;NB;550;176;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;RF;550;176;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;SVM;550;176;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;XGB;550;176;100.0;99.81818181818183;100.0;99.63636363636364;99.81651376146789;0;4;4;4
2;DT;605;160;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;DUM;605;160;49.5456249467496;49.01368378268528;49.08146528157464;49.169398907103826;49.11395441823271;0;0;0;0
2;KNN;605;160;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;MLP;605;160;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;NB;605;160;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;RF;605;160;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;SVM;605;160;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;XGB;605;160;100.0;99.83471074380165;100.0;99.66666666666666;99.83193277310924;0;4;4;4
2;DT;800;121;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;DUM;800;121;50.78125;49.375;49.41176470588236;52.5;50.90909090909091;0;0;0;0
2;KNN;800;121;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;MLP;800;121;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;NB;800;121;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;RF;800;121;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;SVM;800;121;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;XGB;800;121;100.0;99.625;100.0;99.25;99.61783439490446;0;4;4;4
2;DT;880;110;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;DUM;880;110;51.2784090909091;49.43181818181818;49.46236559139785;52.27272727272727;50.82872928176796;0;0;0;0
2;KNN;880;110;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;MLP;880;110;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;NB;880;110;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;RF;880;110;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;SVM;880;110;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;XGB;880;110;100.0;99.88636363636363;100.0;99.77272727272728;99.88571428571429;0;4;4;4
2;DT;968;100;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;DUM;968;100;50.56844211052764;50.10362694300518;50.10752688172043;51.03522336769759;50.5556712666365;0;0;0;0
